Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1955-1957,Ford (USA),Thunderbird,Convertibl...,Popular Cl...,9.3 secs,110mph,23.0,9.3,110.0
1964-1969,Ford (USA),GT40,"Coupe, Ope...",Sports-Rac...,4.6 secs,170mph,77.0,4.6,170.0
1964-1973,Ford (USA),Mustang,Convertibl...,"Film Star,...",5.3 secs,125mph,25.0,5.3,125.0
1948-1953,Frazer Nash,Le Mans Replica,Open,Sports-Rac...,8.5 secs,130mph,79.0,8.5,130.0
1949-1950,Healey,Silverstone,Convertibl...,Grand Tour...,11.0 secs,110mph,52.0,11.0,110.0
1942-1945,Henschel & Sohn,Tiger Panzerkampfwagen,Off Road/ ...,Military V...,-,24mph,70.0,,24.0
1922-1932,Hispano-Suiza,H6,Coachbuilt,Grand Tour...,18.0 secs,85mph,65.0,18.0,85.0
1931-1938,Hispano-Suiza,J12,Coachbuilt,Grand Tour...,12.0 secs,108mph,78.0,12.0,108.0
1934-1938,Hispano-Suiza,K6,Coachbuilt,Grand Tour...,19.0 secs,90mph,64.0,19.0,90.0
1965-1970,Honda,S800,Convertibl...,Grand Tour...,13.5 secs,100mph,30.0,13.5,100.0
1990-2005,Honda,NSX,Coupe,Supercar,5.1 secs,170mph,45.0,5.1,170.0
1931-1935,Horch,670,Coachbuilt,Grand Tour...,22.0 secs,86mph,64.0,22.0,86.0
1938-1939,Horch,853,Coachbuilt,Grand Tour...,25.0 secs,87mphmph,45.0,25.0,87.0
1974-1975,Innocenti,Mini 1300 Cooper,Saloon,Popular Cl...,11.9 secs,94mph,12.0,11.9,94.0
1929-1935,Invicta,S-Type Low Chassis,Convertibl...,Grand Tour...,15.0 secs,100mph,74.0,15.0,100.0
1963-1970,Iso,Rivolta,Coupe,Grand Tour...,7.6 secs,135mph,33.0,7.6,135.0
1965-1974,Iso,Grifo,Coupe,Grand Tour...,5.8 secs,157mph,65.0,5.8,157.0
1970-1974,Iso,Lele,Coupe,Grand Tour...,6.9 secs,140mph,30.0,6.9,140.0
1919-1932,Isotta Fraschini,Tipo 8,Coachbuilt,Grand Tour...,22.0 secs,85mph,55.0,22.0,85.0
1936-1940,Jaguar,SS 100,Convertibl...,Grand Tour...,12.8 secs,96/115mph,69.0,12.8,96.0
1948-1950,Jaguar,XK 120 Alloy Roadster,Convertibl...,Grand Tour...,10.0 secs,125mph,65.0,10.0,125.0
1950-1954,Jaguar,XK 120,Convertibl...,Grand Tour...,10.0 secs,122mph,60.0,10.0,122.0
1951-1954,Jaguar,C-type,Open,Sports-Rac...,6.0 secs,144mph,81.0,6.0,144.0
1951-1956,Jaguar,Mk VII,Saloon,Grand Tour...,13.0 secs,104mph,32.0,13.0,104.0
1954-1957,Jaguar,D-type,Open,Sports-Rac...,4.7 secs,160mph,82.0,4.7,160.0
1954-1957,Jaguar,XK 140,Convertibl...,Grand Tour...,8.4 secs,125/135mph,55.0,8.4,125.0
1957-1957,Jaguar,XKSS,Convertibl...,Sports-Rac...,5.0 secs,144mph,83.0,5.0,144.0
1957-1961,Jaguar,XK 150,Convertibl...,Grand Tour...,8.3 secs,125mph,58.0,8.3,125.0
1959-1969,Jaguar,Mk 2,Saloon,Getaway Ca...,8.5 secs,125mph,35.0,8.5,125.0
1961-1964,Jaguar,E-type Series 1 3.8-Litre Fixe...,Coupe,Grand Tour...,6.5 secs,150mph,59.0,6.5,150.0
1961-1968,Jaguar,E-type Series 1 3.8-Litre Road...,Convertibl...,Grand Tour...,6.5 secs,145mph,60.0,6.5,145.0
1963-1963,Jaguar,Lightweight E-type,Coupe,Sports-Rac...,4.5 secs,170mph,81.0,4.5,170.0
1964-1968,Jaguar,E-type Series 1 4.2-Litre Fixe...,Coupe,Grand Tour...,7.2 secs,150mph,55.0,7.2,150.0
1964-1968,Jaguar,E-type Series 1 4.2-Litre Road...,Convertibl...,Grand Tour...,7.2 secs,145mph,57.0,7.2,145.0
1968-1970,Jaguar,E-type Series 2 4.2-Litre Fixe...,Coupe,Grand Tour...,8.0 secs,135mph,35.0,8.0,135.0
1968-1970,Jaguar,E-type Series 2 4.2-Litre Road...,Convertibl...,Grand Tour...,8.0 secs,130mph,40.0,8.0,130.0
1971-1974,Jaguar,E-type Series 3 V12 2+2,Coupe,Grand Tour...,6.4 secs,146mph,48.0,6.4,146.0
1971-1975,Jaguar,E-type Series 3 V12 Roadster,Convertibl...,Grand Tour...,7.0 secs,143mph,40.0,7.0,143.0
1975-1978,Jaguar,XJ-12C,Coupe,Popular Cl...,10.4 secs,130mph,30.0,10.4,130.0
1990-1992,Jaguar,XJR-15,Coupe,Hypercar,3.9 secs,191mph,70.0,3.9,191.0
1991-1993,Jaguar,XJ220,Coupe,Hypercar,3.6 secs,212mph,62.0,3.6,212.0
1962-1973,Jeep,Wagoneer,Off Road/ ...,Popular Cl...,12.0 secs,103mph,25.0,12.0,103.0
1970-1985,Jeep,CJ-5 Renegade,Off Road/ ...,Popular Cl...,10.0 secs,82mph,18.0,10.0,82.0
1953-1963,Jensen,541,Coupe,Grand Tour...,10.8 secs,115mph,30.0,10.8,115.0
1962-1966,Jensen,CV8,Coupe,Grand Tour...,6.7 secs,136mph,33.0,6.7,136.0
1966-1976,Jensen,Interceptor,Coupe,Grand Tour...,7.5 secs,133mph,50.0,7.5,133.0
1933-1936,Lagonda,M45,Coachbuilt,Grand Tour...,14.0 secs,100mph,64.0,14.0,100.0
1936-1937,Lagonda,LG45 Rapide,Coachbuilt,Grand Tour...,14.3 secs,108mph,76.0,14.3,108.0
1937-1939,Lagonda,LG6,Coachbuilt,Grand Tour...,15.0 secs,105mph,64.0,15.0,105.0
1938-1939,Lagonda,V12,Coachbuilt,Grand Tour...,14.0 secs,105mph,64.0,14.0,105.0
1961-1964,Lagonda,Rapide,Saloon,Grand Tour...,11.0 secs,130mph,59.0,11.0,130.0
1964-1967,Lamborghini,350 GT,Coupe,Grand Tour...,6.8 secs,152mph,70.0,6.8,152.0
1966-1968,Lamborghini,400 GT 2+2,Coupe,Grand Tour...,6.0 secs,150mph,66.0,6.0,150.0
1966-1968,Lamborghini,Miura P400,Coupe,Supercar,6.7 secs,170mph,70.0,6.7,170.0
1968-1970,Lamborghini,Islero,Coupe,Grand Tour...,6.5 secs,165mph,58.0,6.5,165.0
1968-1971,Lamborghini,Miura P400 S,Coupe,Supercar,6.0 secs,172mph,73.0,6.0,172.0
1968-1978,Lamborghini,Espada,Coupe,Grand Tour...,6.0 secs,155mph,55.0,6.0,155.0
1970-1973,Lamborghini,Jarama,Coupe,Grand Tour...,7.2 secs,153mph,45.0,7.2,153.0
1971-1972,Lamborghini,Miura P400 SV,Coupe,Supercar,6.0 secs,180mph,80.0,6.0,180.0
1974-1978,Lamborghini,Countach LP400 'Periscopi...,Coupe,Supercar,5.8 secs,180mph,75.0,5.8,180.0
1974-1979,Lamborghini,Urraco,Coupe,Grand Tour...,6.2 secs,162mph,32.0,6.2,162.0
1978-1982,Lamborghini,Countach LP400S,Coupe,Supercar,5.9 secs,174mph,60.0,5.9,174.0
1982-1985,Lamborghini,Countach LP5000S,Coupe,Supercar,5.6 secs,181mph,65.0,5.6,181.0
1983-1988,Lamborghini,Jalpa,Coupe,Grand Tour...,7.0 secs,146mph,35.0,7.0,146.0
1985-1989,Lamborghini,Countach LP5000S QV,Coupe,Supercar,4.9 secs,183mph,67.0,4.9,183.0
1985-1991,Lamborghini,LM002,Off Road/ ...,Dictators ...,7.7 secs,125mph,50.0,7.7,125.0
1989-1990,Lamborghini,Countach 25th Anniversary,Coupe,Supercar,4.7 secs,183mph,64.0,4.7,183.0
1990-2001,Lamborghini,Diablo,Convertibl...,Supercar,5.1 secs,202mph,65.0,5.1,202.0
1922-1932,Lancia,Lambda,Coachbuilt,Grand Tour...,23.6 secs,75mph,55.0,23.6,75.0
1931-1939,Lancia,Astura,Coachbuilt,Grand Tour...,20.0 secs,80mph,48.0,20.0,80.0
1936-1949,Lancia,Aprilia,Convertibl...,Grand Tour...,25.0 secs,78mph,38.0,25.0,78.0
1951-1958,Lancia,Aurelia B20 GT,Coupe,Grand Tour...,13.0 secs,110mph,57.0,13.0,110.0
