Year,Make,Model,Body,Category,0-60,Top Speed,Rating
Sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort
1963-1964,Alfa Romeo,TZ,Coupe,Sports-Rac...,7.0 secs,140mph,75
1963-1977,Alfa Romeo,Giulia,Coupe,Popular Cl...,10.6 secs,112-118-121mph,28
1964-1965,Alfa Romeo,TZ2,Coupe,Sports-Rac...,5.0 secs,160mph,85
1965-1968,Alfa Romeo,Giulia GTA,Coupe,Grand Tour...,8.0 secs,133mph,63
1966-1968,Alfa Romeo,Duetto,Convertibl...,Popular Cl...,11.3 secs,113mph,25
1967-1969,Alfa Romeo,Tipo 33 Stradale,Coupe,Supercar,5.5 secs,160mph,85
1970-1977,Alfa Romeo,Montreal,Coupe,Grand Tour...,7.5 secs,136mph,28
1989-1993,Alfa Romeo,SZ,Coupe,Popular Cl...,7.0 secs,145mph,51
1946-1953,Allard,K Type,Convertibl...,Grand Tour...,10.0 secs,112mph,38
1950-1954,Allard,J2,Convertibl...,Sports-Rac...,8.5 secs,130mph,62
1961-1977,Alpine,A110,Coupe,Rally,7.0 secs,130mph,50
1971-1984,Alpine,A310,Coupe,Grand Tour...,8.0 secs,137mph,28
1932-1936,Alvis,Speed 20,Coachbuilt,Grand Tour...,15.2 secs,89mph,48
1936-1937,Alvis,4.3 Litre,Coachbuilt,Grand Tour...,11.5 secs,103mph,58
1963-1966,Alvis,TE21 Drophead Coupé,Convertibl...,Grand Tour...,12.0 secs,108mph,53
1961-1965,Amphicar,770,Convertibl...,Amphibious,43.0 secs,70mph,28
1962-1967,ASA,1000 GT,Coupe,Grand Tour...,11.5 secs,115mph,50
1927-1935,Aston Martin,1 1/2 Litre,Convertibl...,Grand Tour...,18.0 secs,85mph,68
1934-1935,Aston Martin,Ulster,Open,Sports-Rac...,13.0 secs,110mph,78
1936-1940,Aston Martin,2.0 Litre,Convertibl...,Grand Tour...,15.0 secs,90mph,65
1948-1950,Aston Martin,DB1,Convertibl...,Grand Tour...,14.0 secs,93mph,58
1950-1959,Aston Martin,DB2,Coupe,Grand Tour...,9.3 secs,120mph,60
1950-1959,Aston Martin,DB2 Drophead Coupé,Convertibl...,Grand Tour...,9.3 secs,120mph,68
1951-1953,Aston Martin,DB3,Open,Sports-Rac...,8.5 secs,131mph,75
1953-1956,Aston Martin,DB3S,Open,Sports-Rac...,7.0 secs,146mph,80
1958-1963,Aston Martin,DB4,Coupe,Grand Tour...,9.0 secs,140mph,64
1959-1963,Aston Martin,DB4 GT,Coupe,Grand Tour...,6.1 secs,153mph,78
1960-1963,Aston Martin,DB4 GT Zagato,Coupe,Grand Tour...,6.1 secs,154mph,84
1961-1963,Aston Martin,DB4 Convertible,Convertibl...,Grand Tour...,8.9 secs,140mph,73
1963-1965,Aston Martin,DB5,Coupe,"Film Star,...",7.1 secs,148mph,65
1963-1965,Aston Martin,DB5 Convertible,Convertibl...,Grand Tour...,7.1 secs,145mph,75
1965-1970,Aston Martin,DB6,Coupe,Grand Tour...,6.3 secs,150mph,61
1965-1970,Aston Martin,DB6 Volante,Convertibl...,Grand Tour...,8.4 secs,140mph,72
1967-1972,Aston Martin,DBS,Coupe,Grand Tour...,8.5 secs,140/160mph,58
1972-1989,Aston Martin,V8,Coupe,Grand Tour...,7.0 secs,146mph,58
1976-1990,Aston Martin,Lagonda,Saloon,Grand Tour...,8.8 secs,144mph,50
1977-1989,Aston Martin,V8 Vantage,Coupe,Grand Tour...,5.2 secs,170mph,67
1978-1989,Aston Martin,V8 Volante,Convertibl...,Grand Tour...,5.3 secs,160mph,62
1992-2000,Aston Martin,Vantage,Coupe,Grand Tour...,4.6 secs,186mph,65
2001-2007,Aston Martin,Vanquish,Coupe,Grand Tour...,4.8 secs,190mph,50
